,MEDV
141,14.4
432,14.1
445,17.7
184,34.9
221,31.5
386,12.1
47,16.6
9,18.9
481,18.3
139,17.8
297,22.8
155,15.6
53,23.4
101,26.5
450,19.0
127,16.2
182,32.0
421,8.7
422,8.4
309,23.8
473,7.0
427,15.4
316,22.2
49,19.4
250,30.1
111,22.8
443,20.0
132,23.0
301,19.4
465,23.7
460,16.7
62,22.2
310,23.1
195,24.1
145,13.8
18,20.2
174,29.9
424,10.5
363,10.2
0,24.0
60,18.7
108,19.8
415,14.1
138,13.3
300,22.1
360,13.9
408,11.7
55,35.4
320,17.1
284,28.6
3,33.4
212,23.0
244,29.6
201,24.4
48,14.4
273,32.2
42,25.3
115,18.3
26,16.6
370,10.5
88,23.6
224,41.7
226,29.0
448,21.4
129,14.3
12,21.7
406,20.8
152,15.3
79,20.3
76,20.0
344,20.6
89,28.7
272,46.0
285,27.1
357,13.8
24,15.6
161,22.7
251,33.8
304,16.2
119,19.3
279,28.5
6,22.9
10,15.0
227,24.0
442,14.9
168,23.1
81,23.9
333,31.2
269,35.1
247,20.9
296,28.2
223,31.7
392,17.2
222,24.3
484,16.8
452,19.1
342,30.1
441,13.5
83,22.9
92,22.9
45,19.3
429,11.8
46,20.0
185,37.0
292,33.1
261,25.2
15,19.9
423,12.8
393,27.5
58,23.3
469,21.2
416,16.1
59,19.6
435,15.2
39,30.8
240,24.5
433,13.0
25,13.9
280,37.3
457,29.8
84,23.9
61,16.0
51,20.5
394,15.0
278,24.8
458,13.8
11,18.9
313,25.0
17,17.5
368,8.8
67,22.0
124,18.8
209,23.3
477,21.8
96,21.4
68,17.4
367,12.3
213,26.7
106,19.5
4,36.2
409,8.3
102,18.6
293,36.1
263,35.2
480,19.7
218,37.6
275,20.1
277,22.3
456,23.2
418,11.7
383,6.3
474,8.1
134,15.6
93,25.0
159,23.3
298,20.3
426,18.4
1,21.6
37,21.0
330,32.7
166,17.4
307,23.1
2,34.7
95,28.4
23,14.5
259,20.7
321,19.4
211,21.5
133,18.4
353,21.9
489,11.9
142,13.4
306,19.8
282,23.9
229,31.5
335,17.2
246,21.9
414,14.5
85,26.6
249,36.0
154,17.0
181,29.6
74,24.1
488,22.0
471,20.6
128,18.0
378,12.7
20,13.6
350,19.9
311,20.4
372,10.2
97,38.7
305,17.8
462,14.6
290,22.0
252,43.1
69,20.9
87,22.2
114,18.5
352,16.8
419,13.4
358,13.8
196,42.3
167,19.1
104,20.1
407,13.4
483,17.5
77,20.8
192,34.6
54,18.9
19,18.2
461,12.0
178,37.9
257,30.7
255,36.5
215,27.5
402,8.8
193,34.9
130,19.2
453,20.1
100,27.5
171,29.4
425,17.1
366,11.3
444,16.4
143,15.6
345,17.8
327,20.6
202,20.0
200,22.5
315,23.0
148,17.8
268,29.1
121,20.3
136,17.4
482,21.2
434,13.4
57,31.6
194,32.9
270,45.4
379,13.1
63,25.0
70,24.2
354,27.5
271,35.4
396,17.9
266,33.2
455,19.6
365,10.9
169,23.6
36,20.0
243,24.8
82,24.8
260,21.1
348,22.6
447,20.2
22,15.2
337,24.5
308,21.0
459,13.3
239,20.5
220,46.7
13,20.4
375,23.2
160,27.0
72,22.8
177,36.2
276,23.2
35,18.9
326,18.5
207,23.7
225,48.3
120,22.0
216,30.1
29,21.0
347,22.7
188,31.1
451,19.1
325,19.5
180,26.4
233,20.1
390,11.9
165,22.3
126,15.7
467,21.8
264,32.4
64,33.0
417,14.3
214,21.7
430,14.9
384,5.6
338,26.6
410,10.2
175,37.2
403,8.4
172,23.2
332,23.9
32,13.2
31,14.5
232,22.0
235,23.7
374,15.1
397,16.3
187,36.4
173,24.6
389,5.0
449,19.9
303,23.8
38,24.7
265,32.0
439,14.1
14,18.2
94,20.6
16,23.1
391,27.9
341,18.6
217,44.8
289,24.8
413,9.5
478,24.5
78,21.2
91,22.0
387,8.3
183,29.8
380,12.5
323,20.7
267,33.1
190,33.3
476,20.1
109,19.4
364,10.4
356,23.1
135,18.1
245,42.8
369,7.2
274,22.0
147,14.6
105,19.5
294,28.4
324,21.1
258,43.5
287,22.5
468,20.6
179,32.5
361,13.3
164,23.8
110,21.7
388,8.5
256,22.8
314,24.6
5,28.7
144,11.8
103,19.3
210,28.7
385,7.2
479,23.1
41,26.6
362,13.1
137,17.1
377,13.8
254,31.0
146,15.6
125,21.4
86,22.5
30,12.7
431,12.6
65,23.5
203,21.7
205,22.4
44,21.2
27,14.8
80,28.0
437,17.8
113,18.7
399,7.2
204,19.3
7,27.1
208,25.0
158,24.3
112,18.8
411,10.9
446,19.5
231,23.3
228,25.1
8,16.5
73,23.4
400,7.5
118,20.4
486,20.6
189,29.1
206,28.1
355,21.9
